memoryKey,userKey,type,category,importance,accessCount,hasExpiry,hasMetadata,hasSourceSignal,hasConversationLink,hasConflictFlag,hasArchivedFlag,consentState,sensitivityTier,provenanceState,retentionState,disposition,closureState,nextAction,consumerPolicy
181af2ae8c95bd8f0a9bbaf8,1084577cbb3f38657c9e4ced,FACT,test_score,0.8149802389842428,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
b3f952321dd14b4a406a09c2,875833987e2b62cb7ddbfe82,FACT,test_score,0.8149784664922853,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
2654144a8478a7166025784d,43b601f05e9fbd065ec680a6,FACT,test_score,0.8397895205924251,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
6d09fabce0403153dc11bc79,839e342bc77197b9adf45bd3,FACT,test_score,0.8643752671360737,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
98f47c07c87c5e844ff30a54,0454f0a72b2c094e6d6d7f71,FEEDBACK,improvement,0.5433225852659193,0,false,true,false,false,false,false,missing_preference_row,medium,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
9dd7ff69ed4817987492b287,787856073e65281e1f84d958,FACT,test_score,0.8150783413544823,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
ca03177275729398befd1afa,407e7bc15345684ec7a464be,FACT,test_score,0.8643778293854684,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
1d61bdd7b18fcaacedd8f586,0454f0a72b2c094e6d6d7f71,DECISION,swipe_prediction,0.740871931515175,0,false,true,true,false,false,false,missing_preference_row,medium,source_linked,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
3a84ab704d9929f0f58fa684,7f2cc6c7372a4cd8e30d361f,FACT,test_score,0.8147483272495286,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
e91c52f19649bbaaa26417e2,356feb6c190241bfda872996,FACT,test_score,0.8149825092055858,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
