queue,status,recipientKey,campaignId,domain,action,gap,severity,route,title,content,cta,allowedChannels,liveChannelsDisabled,frequencyDedupeKey,suppressWhen,schoolId,schoolName
user_prompt,ready_for_in_app_admin_delivery,223a6a708359b7937d219faf,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:223a6a708359b7937d219faf,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,8fb4add81ea4591274ba92bf,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:8fb4add81ea4591274ba92bf,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,cb9a2c99c2a8e4492ed0c6ce,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:cb9a2c99c2a8e4492ed0c6ce,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,34e4f1e4310e882077360749,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:34e4f1e4310e882077360749,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,92f8184329ed8122ef0500e2,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:92f8184329ed8122ef0500e2,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,0824a4f0d54001a98134ad1a,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:0824a4f0d54001a98134ad1a,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,ffd13bdfc40707b1beed8584,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:ffd13bdfc40707b1beed8584,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,306e16d5eaf970c22048e588,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:306e16d5eaf970c22048e588,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,8f8ea83a21137c37dc37af3d,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:8f8ea83a21137c37dc37af3d,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,190589ea8a6032fa1f65ca5e,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:190589ea8a6032fa1f65ca5e,Profile has GPA value and GPA scale,,
