schoolId,schoolName,usNewsRank,applicationYear,promptCount,criticalPromptCount,recommendedAction,reviewDisposition,topCandidateType,topCandidateUrl,promptIds
cmn1htkn30001vqf2nozenmj6,Massachusetts Institute of Technology,2,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.mit.edu/admissions,cmorxbk6j000xeiz6g5atpskm
cmn1htkna0004vqf2erll9srp,Yale University,5,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.yale.edu/admissions,cmorwhi320023nooje0kqa0nw
cmnwr8iuy0047z0tijtdlowua,Bowdoin College,6,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.bowdoin.edu/admissions,cmorxd5qz002neiz69rojmwjq
cmn1htknc0005vqf2l2az4cd2,University of Pennsylvania,6,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.upenn.edu/admissions,cmor7ytlo002r1jbw5glhilha
cmnwr8ive004gz0tihs1kxbek,Davidson College,15,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.davidson.edu/admissions,cmorw7ziu005l44lkx12y1ryn
cmn1htko0000gvqf2pmjc1xi9,Rice University,17,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.rice.edu/admissions,cmorx4i1p006v8vvhtjqzje2a
cmn1htko5000ivqf28d3x9557,Vanderbilt University,18,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.vanderbilt.edu/admissions,cmorxfjp7006zeiz62o64qekh
cmn1htkoa000kvqf2oqm36hw5,"University of Michigan, Ann Arbor",21,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://umich.edu/admissions,cmorxfx3l007feiz6d6y75iza
cmn1htkom000pvqf2se90bue1,University of Virginia,24,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.virginia.edu/admissions,cmorwkwyt006xnooj51afbwyi
cmn1htkor000rvqf282ibd6kz,"University of California, Davis",28,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.ucdavis.edu/admissions,cmor84ln300831jbw0touh3s5
