queue,status,recipientKey,campaignId,domain,action,gap,severity,route,title,content,cta,allowedChannels,liveChannelsDisabled,frequencyDedupeKey,suppressWhen,schoolId,schoolName
user_prompt,ready_for_in_app_admin_delivery,62054f9af3f742de36c2f85c,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:62054f9af3f742de36c2f85c,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,9364ef9c662f3a639f68f056,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:9364ef9c662f3a639f68f056,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,3a816c9b5433ae0aaf479ba7,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:3a816c9b5433ae0aaf479ba7,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,3ee3cf435e4f83fb80edeb51,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:3ee3cf435e4f83fb80edeb51,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,9c31e7076836e7c3e8c3b9e6,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:9c31e7076836e7c3e8c3b9e6,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,700a98cbdc40e3ae03f7db21,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:700a98cbdc40e3ae03f7db21,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,350e3e61308a4fecf31d5265,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:350e3e61308a4fecf31d5265,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,ee8d2acecabae8a094f78e72,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:ee8d2acecabae8a094f78e72,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,60ae21cdcc0779c5d57fa893,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:60ae21cdcc0779c5d57fa893,Profile has GPA value and GPA scale,,
user_prompt,ready_for_in_app_admin_delivery,8af2599c6426aee17e392808,profile-prompt-user-profile-gpa-anchor,profile,prompt-user,profile.gpa_anchor,critical,/profile?tab=gpa,Complete your GPA anchor,Add GPA and scale so predictions and school-list advice use your real academic baseline.,Update GPA,in_app_readiness_surface|dashboard,redis_notification_feed|remote_push|email,profile-readiness:profile-prompt-user-profile-gpa-anchor:8af2599c6426aee17e392808,Profile has GPA value and GPA scale,,
