rowKind,id,status,summary,evidence,missing,recipientKey,campaignId,domain,action,gap,severity,route,allowedChannels,liveChannelsDisabled,frequencyDedupeKey,suppressWhen
check,disposition_packet_ready,pass,Every open first-party readiness row must have a user/operator/system disposition.,/Users/yitianwu/Documents/study-abroad-platform/apps/api/scripts/closure-reports/profile-readiness-disposition-2026-05-22T11-17-32-982Z.json,,,,,,,,,,,,
check,top_campaign_school_list_add_first,pass,The highest-priority user prompt campaign should be school_list.add_first.,group=school_list:prompt-user:school_list.add_first; severity=critical,,,,,,,,,,,,
check,policy_copy_covers_user_prompt_gaps,pass,Every user-prompt gap needs approved in-app/dashboard copy before delivery packages are considered consumable.,copyGaps=5,,,,,,,,,,,,
check,admin_delivery_ready_and_anonymized,pass,Admin delivery must be privacy-safe and have zero blocked copy rows.,blockedRows=0; includesUserIds=false,,,,,,,,,,,,
check,school_list_add_first_delivery_rows_ready,pass,"school_list.add_first rows must route to /schools, stay in in-app/dashboard surfaces, and include suppression rules.",rows=167; ready=167; route=/schools=167,,,,,,,,,,,,
check,top_campaign_delivery_preflight_rows_ready,pass,"The top disposition campaign must have anonymized, ready, non-live delivery rows with suppression rules.",rows=167; ready=167; includesUserIds=false,,,,,,,,,,,,
check,dispatch_in_app_surface_ready,pass,Dispatch dry-run must have unblocked in-app/dashboard readiness batches before consumer closure can be claimed.,dispatchBatches=8; blockedBatches=0; inAppSurfaceReadyBatches=5,,,,,,,,,,,,
check,live_delivery_policy_gate_review_only,warn,Live Redis/push/email blockers may remain review-only when in-app/admin delivery is the approved surface.,status=BLOCKED_FOR_LIVE_DELIVERY; channel_disabled_by_policy; recipient_user_ids_redacted,,,,,,,,,,,,
check,profile_readiness_api_endpoint,pass,The user-facing readiness endpoint and shared route must exist.,ProfileController Get(me/readiness); profileRoutes.readiness,,,,,,,,,,,,
check,profile_service_emits_school_list_add_first,pass,ProfileReadinessService must emit school_list.add_first and route it to /schools.,profile-readiness.service.ts,,,,,,,,,,,,
check,frontend_profile_consumes_readiness_actions,pass,The profile first fold must render readiness nextActions as clickable UI.,profile-header.tsx,,,,,,,,,,,,
check,frontend_schools_route_exists,pass,The /schools route must exist for school_list.add_first.,apps/web/src/app/[locale]/(main)/schools,,,,,,,,,,,,
check,frontend_action_labels_localized,pass,The Add Schools readiness action must be localized in English and Chinese.,apps/web/src/messages/en.json; apps/web/src/messages/zh.json,,,,,,,,,,,,
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,12fa5aa67e13035ed2fe94a9,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:12fa5aa67e13035ed2fe94a9,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,13bf78bd172a63271d1fac48,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:13bf78bd172a63271d1fac48,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,13d8d8819466efe18e24e5ff,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:13d8d8819466efe18e24e5ff,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,1500b0b863d4a038abd97619,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:1500b0b863d4a038abd97619,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,16e3334ff8056801a6a19f91,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:16e3334ff8056801a6a19f91,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,171e2063b6c3e3df23b73496,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:171e2063b6c3e3df23b73496,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,183cb8e383c4d448d533bd83,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:183cb8e383c4d448d533bd83,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,18c9d038f473702fa45fe736,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:18c9d038f473702fa45fe736,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,1938a7b212a0cb4a222c1dfb,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:1938a7b212a0cb4a222c1dfb,SchoolListItem count > 0
top_campaign_delivery_preview,,ready_for_in_app_admin_delivery,anonymized non-live delivery preview row,,,1a5b0a46226de7b2fdf7ee6d,school-list-prompt-user-school-list-add-first,school_list,prompt-user,school_list.add_first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:1a5b0a46226de7b2fdf7ee6d,SchoolListItem count > 0
