schoolId,schoolName,sourceSearchPromptRows,criticalPromptRows,identityConflictRows,identityConflictDispositions,identityRelations,sourceFamilyMismatchReviewRows,campaignState,recommendedAction,score,checkedCandidates,linkedSourceCandidates,topLinkedUrl,topCandidateUrl,promptIds
"cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","10","10","0","","","0","source_search","manual-deep-search-official-application-page","665","3","0","","https://www.ucla.edu/admissions","cmorxevfb005peiz6vw812hr3|cmorxevff005xeiz619nzd64j|cmorxevfe005veiz623wi969x|cmorxevfd005teiz6yws5jskd|cmorxevfc005reiz6b9gfxlpz|cmorxevfa005neiz6l4f1vqqr|cmorxevf8005leiz6t6j36epi|cmorxevf7005jeiz68zmgcfos|cmorxevf5005heiz6e1zgvjxo|cmorx4ad7006b8vvhh5cym2yn"
"cmn1htkoj000ovqf226pta7or","Emory University","8","8","0","","","0","source_search","validate-ranked-linked-source-candidates","547","3","8","https://www.commonapp.org/explore/emory-university#Common%20Application","https://www.emory.edu/admissions","cmorwl1vu007bnoojbsd50odf|cmorx5zyh008z8vvhn7qjnoot|cmorwl1vx007fnooj3joc3vf5|cmorwl1vw007dnoojk85153mg|cmorx5zyd008x8vvhqkrcooyt|cmorx5zyl00918vvho4x133y5|cmorx5zyn00938vvhmuj473kk|cmorx5zyp00958vvhatrhp4ar"
"cmn1htkq9001avqf25ziy94gn","Lehigh University","7","7","0","","","0","source_search","manual-deep-search-official-application-page","453","3","0","","https://www1.lehigh.edu/admissions","cmorwbipe00bd44lkqmgoelwz|cmorwmtul00apnoojb68xqw3c|cmorxig3800bfeiz6p1n4muma|cmorw208b00aprazu54zw3aeh|cmorw208a00anrazutfw9l0x0|cmorw208400alrazuhcf01zst|cmorwbiph00bh44lkczpe70u9"
"cmnwr8im90007z0ti2n04hf3n","University of Pittsburgh","6","6","0","","","0","source_search","retry-blocked-candidates-or-external-source-search","380","3","0","","https://www.pitt.edu/admissions","cmorwoaxy00cvnoojo9hiocc8|cmorwd4au00dp44lkpjx1sj7d|cmorwoaxs00ctnoojxepmad52|cmorwoay000cxnoojxmweyx7w|cmor89qos00cf1jbwr034vd7q|cmorxakrl00e38vvhuwdl0mp0"
"cmn1htkn80003vqf29zl0f9lr","Stanford University","5","5","0","","","0","source_search","manual-deep-search-official-application-page","377","3","0","","https://www.stanford.edu/admissions","cmorxc6ry001xeiz6q1f1m4oz|cmorxc6rr001veiz6zwwvdehq|cmorxc6ri001teiz6cd33r31p|cmorxc6r7001reiz6dhc0kf7r|cmorxc6qx001peiz6obaxd0cg"
"cmnwr8iv20049z0ti4tahvum5","Carleton College","5","5","0","","","0","source_search","validate-ranked-linked-source-candidates","373","3","1","https://www.carleton.edu/admissions/connect/","https://www.carleton.edu/admissions","cmor7ztds003l1jbwr1020i1q|cmor7ztdz003r1jbwcbz65tp0|cmor7zte0003t1jbwt9jm53vd|cmor7ztdw003p1jbwz7o7c0i4|cmor7ztdn003j1jbwo2mg3i1v"
"cmn1htko7000jvqf22r0n55p2","University of Notre Dame","5","5","0","","","0","source_search","manual-deep-search-official-application-page","360","3","0","","https://www.nd.edu/admissions","cmorwk9rs005xnooj632h5yns|cmorw8oi7006n44lk6i9m143o|cmorxftt40075eiz6aa2fmrgm|cmorxftt70077eiz63vjfdw7m|cmorxftta0079eiz6z2vji8wj"
"cmnwr8itr003qz0tihoo9onta","Penn State University","5","5","0","","","0","source_search","manual-official-source-search-or-terminal","313","0","0","","https://www.psu.edu/admissions","cmorxarrf00ef8vvhvsjwgkfm|cmorxarrk00en8vvhwuexhjul|cmorworf300dznoojgcp0pmop|cmorxarri00ej8vvhkz9tnqgo|cmorxarrc00ed8vvh8k35p6dd"
"cmn1htkno000bvqf209819ok4","Columbia University","4","4","0","","","0","source_search","manual-official-source-search-or-terminal","308","0","0","","https://www.columbia.edu/admissions","cmorxejeq004teiz6kcrpb0qa|cmorx3q9b005j8vvh1dfhyo8c|cmorwj2s60045nooj1zqs5fun|cmor81hdr00571jbw5w2wux1l"
"cmnwr8ipx001wz0timhlbfii2","University of Vermont","5","5","0","","","0","source_search","manual-official-source-search-or-terminal","300","0","0","","https://www.uvm.edu/admissions","cmor8j72s00jb1jbwcft7uzrw|cmorxq61a00jzeiz6nufxqrv8|cmorxq61600jxeiz6wpkzh1zf|cmor8j72w00jd1jbwwxnb6vi3|cmorxf3eq00jr8vvhec16hyaz"
"cmn1htkqj001dvqf2n8mczcpn","Wake Forest University","4","4","0","","","0","source_search","manual-official-source-search-or-terminal","273","0","0","","https://www.wfu.edu/admissions","cmorx8q4p00c98vvhyfxrljg7|cmorxiqen00bveiz69o03rbk6|cmorxiqep00bxeiz67d3gp1ab|cmorx8q4u00cb8vvh1qtot8nd"
"cmnwr8ilx0001z0tilru6b1th","William & Mary","4","4","0","","","0","source_search","manual-official-source-search-or-terminal","262","0","0","","https://www.wm.edu/admissions","cmorwo0da00cfnoojoxgamkub|cmorwo0d600cdnoojvcdg0qkp|cmorw3nbg00clrazuruyo7d2h|cmorwcmcq00d944lk7bgg0q90"
"cmn1htkn60002vqf2r731l78m","Harvard University","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","257","0","0","","https://www.harvard.edu/admissions","cmorvt1hu001frazu5d4jt3si|cmorx0f2e00238vvhcwq9qt2k|cmorx0f27001z8vvhxxglup6b"
"cmnwr8iut0044z0tie7749l79","Swarthmore College","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","257","0","0","","https://www.swarthmore.edu/admissions","cmorx0jjv00258vvh5t13thl2|cmorx0jjw00278vvhepuvd03b|cmorx0jjx00298vvha4gi8zqp"
"cmnwr8iuv0045z0tiq1lprcv8","Pomona College","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","256","0","0","","https://www.pomona.edu/admissions","cmorx16fk002x8vvhf40jxaoo|cmorx16fo00318vvhskinpw33|cmorx16fn002z8vvh8ry8tjp1"
"cmnwr8ivz004rz0tik286u7ol","Savannah College of Art and Design","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","254","0","0","","https://www.scad.edu/admissions","cmor7yomh002j1jbwhgwqzlho|cmor7yome002h1jbw92qdcfha|cmor7yomk002l1jbwsvz2v6gl"
"cmn1htkne0006vqf2quzi0v6h","California Institute of Technology","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","253","0","0","","https://www.caltech.edu/admissions","cmorx20tm003n8vvhordemiln|cmorx20tl003l8vvhbix67n0r|cmorx20ti003j8vvhrhpbkplz"
"cmn1htknq000cvqf2sogobdg1","Cornell University","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","248","0","0","","https://www.cornell.edu/admissions","cmor8113e00511jbwoagv9vej|cmor8113c004z1jbwljah8m0i|cmorxeble004heiz6oqdvsd8q"
"cmnwr8iv9004dz0tirpo4zq16","Vassar College","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","248","0","0","","https://www.vassar.edu/admissions","cmorw7p63005344lkrs6qbhuz|cmorw7p5u005144lkregum8n4|cmorxe8ha004feiz65l03fe8s"
"cmnwr8ipm001sz0tixvcr2p30","Oregon State University","4","4","0","","","0","source_search","manual-official-source-search-or-terminal","240","0","0","","https://oregonstate.edu/admissions","cmorxf7aw00jv8vvhw16abjns|cmorwusbw00j9noojj2304bn7|cmor8jhnx00jh1jbwl0aso224|cmorxpyi700jpeiz6pb66p83w"
"cmn1htkoo000qvqf2jgkrffw1","Washington University in St. Louis","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","236","0","0","","https://wustl.edu/admissions","cmorvz98r007brazuos7wmxpf|cmorwkryo006lnooj3dna842l|cmorvz98u007hrazuse0papfp"
"cmn1htkq30018vqf2xt2csyoe","Purdue University","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","217","0","0","","https://www.purdue.edu/admissions","cmorwb3cq00ar44lk6u1gt18i|cmorwb3c700ap44lku40q4frq|cmor873eg009z1jbwku4l97tl"
"cmn1htkqc001bvqf22zfkx827","Texas A&M University","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","213","0","0","","https://www.tamu.edu/admissions","cmorwbd6c00b744lkv3r3ybjv|cmorwbd6300b544lkt9i79c82|cmorwmpar00ahnoojlg1gbqzh"
"cmnwr8itq003pz0tirhvysbdj","University of Minnesota, Twin Cities","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","207","0","0","","https://twin-cities.umn.edu/admissions","cmorx9pis00d18vvhi3mpmvuu|cmorwnq8m00bxnoojr4gol3k7|cmorxj8fn00cleiz6y12ywu4g"
"cmnwr8imc0009z0tie59yu85k","Virginia Tech","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","202","0","0","","https://www.vt.edu/admissions","cmorwnvfr00cbnoojykdywp8l|cmorwnvfl00c7noojg8n8dewg|cmorwnvfo00c9noojygz7v8x5"
"cmnwr8iwe004zz0tilegv5ian","Harvey Mudd College","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","199","0","0","","https://www.hmc.edu/admissions","cmorwfm2i0001noojmzxkwt8m|cmorxb6m8000beiz6g2vhfwkl"
"cmnwr8iw7004vz0ti65mqjgq5","Berklee College of Music","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","198","0","0","","https://www.berklee.edu/admissions","cmorw51ve001l44lkii1s5r9b|cmorwztfz001b8vvhs39hi2g0"
"cmnwr8iw1004sz0ti04r9dj3i","Maryland Institute College of Art","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","193","0","0","","https://www.mica.edu/admissions","cmor7zbjb00311jbwgnsa9ym4|cmor7zbjh00331jbw43ruwpmh"
"cmn1htknh0008vqf2i053h8rm","Brown University","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","191","0","0","","https://www.brown.edu/admissions","cmorx2yvg004f8vvh5lvsanrl|cmorxdrxk003leiz6os8g6y5g"
