field,surfaceId,severity,closureState,disposition,recommendedAction,implementationTargets
"deadlines","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/BRIEF.md|apps/api/src/modules/school/college-catalog.seed.spec.ts|apps/api/src/modules/school/deadline-refresh.scheduler.spec.ts|apps/api/src/modules/school/deadline-refresh.scheduler.ts|apps/api/src/modules/school/ipeds-data.service.ts|apps/api/src/modules/school/school-provenance.helpers.ts|apps/api/src/modules/school/school-scraper.service.spec.ts|apps/api/src/modules/school/school-scraper.service.ts|apps/api/src/modules/school/school.service.ts"
"essayPrompts","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/school-provenance.helpers.ts|apps/api/src/modules/school/school-scraper.service.ts|apps/api/src/modules/school/school.service.ts"
"intlAcceptanceRate","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/college-catalog.seed.spec.ts|apps/api/src/modules/school/school-data-merger.ts|apps/api/src/modules/school/school-provenance.helpers.ts"
"sat25","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/dto/create-school.dto.ts|apps/api/src/modules/school/school-data-merger.ts|apps/api/src/modules/school/school-data.service.ts|apps/api/src/modules/school/school-provenance.helpers.ts|apps/api/src/modules/school/school.controller.spec.ts|apps/api/src/modules/school/school.service.ts|apps/api/src/modules/school/scrapers/bigfuture.scraper.ts"
"sat75","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/dto/create-school.dto.ts|apps/api/src/modules/school/school-data-merger.ts|apps/api/src/modules/school/school-data.service.ts|apps/api/src/modules/school/school-provenance.helpers.ts|apps/api/src/modules/school/school.controller.spec.ts|apps/api/src/modules/school/school.service.ts|apps/api/src/modules/school/scrapers/bigfuture.scraper.ts"
"testingPolicy","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/dto/create-school.dto.ts|apps/api/src/modules/school/dto/school-query.dto.ts|apps/api/src/modules/school/school-data-merger.ts|apps/api/src/modules/school/school-provenance.helpers.ts|apps/api/src/modules/school/school-write.service.ts|apps/api/src/modules/school/school.controller.ts|apps/api/src/modules/school/school.service.spec.ts|apps/api/src/modules/school/school.service.ts"
"testOptional","api_school_detail","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/school/dto/create-school.dto.ts|apps/api/src/modules/school/dto/school-query.dto.ts|apps/api/src/modules/school/school-data-merger.ts|apps/api/src/modules/school/school-provenance.helpers.ts|apps/api/src/modules/school/school-write.service.ts|apps/api/src/modules/school/school.controller.ts|apps/api/src/modules/school/school.service.spec.ts|apps/api/src/modules/school/school.service.ts"
"acceptanceRate","essay_ai_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/essay/essay-ai.service.spec.ts|apps/api/src/modules/essay/essay-ai.service.ts"
"essayPrompts","essay_ai_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/essay/BRIEF.md|apps/api/src/modules/essay/constants/essay-gallery.constants.ts|apps/api/src/modules/essay/essay-gallery.service.spec.ts|apps/api/src/modules/essay/essay-gallery.service.ts|apps/api/src/modules/essay/essay-prompt.service.spec.ts|apps/api/src/modules/essay/essay-prompt.service.ts|apps/api/src/modules/essay/essay-scraper.controller.ts|apps/api/src/modules/essay/essay-scraper.service.spec.ts|apps/api/src/modules/essay/essay-scraper.service.ts|apps/api/src/modules/essay/strategies/collegevine.strategy.ts|apps/api/src/modules/essay/strategies/llm.strategy.ts"
"testingPolicy","essay_ai_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/essay/essay-ai.service.ts"
