schoolId,schoolName,assetId,gap,action,severity,disposition,closureState,nextAction,consumerPolicy,route
cmnwr8ish0036z0tiy3l6tt76,"California State University, Northridge",,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ish0036z0tiy3l6tt76/media
cmnwr8iwv0058z0tivh6huv4n,"California State University, Sacramento",,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwv0058z0tivh6huv4n/media
cmnwr8iv20049z0ti4tahvum5,Carleton College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iv20049z0ti4tahvum5/media
cmn1htkoh000nvqf2uj3pjgxw,Carnegie Mellon University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkoh000nvqf2uj3pjgxw/media
cmnwr8ilz0002z0tiwrsmrdi7,Case Western Reserve University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ilz0002z0tiwrsmrdi7/media
cmnwr8itk003mz0tirfyu068c,Central Michigan University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8itk003mz0tirfyu068c/media
cmnwr8iv4004az0tioxjsp148,Claremont McKenna College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iv4004az0tioxjsp148/media
cmnwr8ioo001hz0tim3isqwz9,Clarkson University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ioo001hz0tim3isqwz9/media
cmnwr8in3000oz0tih36u19xf,Clemson University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8in3000oz0tih36u19xf/media
cmnwr8it2003gz0tixy0e9ok2,Cleveland State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8it2003gz0tixy0e9ok2/media
cmnwr8ivj004jz0tij2m7ox54,Colby College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ivj004jz0tij2m7ox54/media
cmnwr8ivd004fz0tiwbcr93y2,Colgate University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ivd004fz0tiwbcr93y2/media
cmnwr8ime000az0ti9ts1sd20,Colorado School of Mines,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ime000az0ti9ts1sd20/media
cmnwr8ipv001vz0tiqnippgu6,Colorado State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ipv001vz0tiqnippgu6/media
cmn1htkno000bvqf209819ok4,Columbia University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkno000bvqf209819ok4/media
