rowKind,id,status,summary,missing,recipientKey,campaignId,severity,route,allowedChannels,liveChannelsDisabled,frequencyDedupeKey,suppressWhen
check,consumer_closure_present,pass,Delivery monitor requires the latest consumer closure packet.,,,,,,,,,
check,top_campaign_identified,pass,The delivery monitor must identify a readiness campaign group.,,,,,,,,,
check,worklist_alignment,pass,The monitor rows should match the current top-campaign worklist rows.,,,,,,,,,
check,monitor_rows_ready,pass,Pending top-campaign rows must be ready for in-app/admin delivery.,,,,,,,,,
check,monitor_rows_anonymized,pass,Delivery monitor rows must stay anonymized by default.,,,,,,,,,
check,approved_surfaces_only,pass,Delivery monitor rows must stay on approved in-app/dashboard surfaces.,,,,,,,,,
check,live_channels_disabled,pass,"Live Redis, push, and email delivery must remain disabled in this monitor.",,,,,,,,,
check,suppression_rules_present,pass,Every delivery monitor row needs suppression criteria before display.,,,,,,,,,
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,28a040cdc73d59f3893727c9,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:28a040cdc73d59f3893727c9,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,293b02d646a61fe11dd1ca3f,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:293b02d646a61fe11dd1ca3f,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,29845e66644d08b4b1a33882,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:29845e66644d08b4b1a33882,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,2a8c68919fe5cdf82c6995ba,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:2a8c68919fe5cdf82c6995ba,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,2b4e20af583a2235377e7414,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:2b4e20af583a2235377e7414,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,2b925a20783dfc9ae75e6bd1,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:2b925a20783dfc9ae75e6bd1,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,2c04bc551e90afc7618f64c6,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:2c04bc551e90afc7618f64c6,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,2ce19750d84888bcba5cbbe4,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:2ce19750d84888bcba5cbbe4,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,31b3982d50ff8ac1f55dfabc,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:31b3982d50ff8ac1f55dfabc,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,338f1b9bf970fc94baef475c,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:338f1b9bf970fc94baef475c,SchoolListItem count > 0
