essayPromptId,assignedSchoolName,matchedSchoolName,year,status,type,severity,closureState,resolutionDisposition,recommendedAction,sourcePromptRoute
"cmorxkbpm00e7eiz6vm9zedky","Pennsylvania State University","Penn State University","2026","VERIFIED","SHORT_ANSWER","critical","conflict","review_duplicate_school_identity_candidate","review-merge-school-rows-or-add-alias-before-source-approval","/admin/essay-prompts/cmorxkbpm00e7eiz6vm9zedky"
"cmorxamtt00e98vvh8fgzy7tf","Pennsylvania State University","University of Pennsylvania","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_reassign_candidate","review-official-source-and-reassign-or-reject","/admin/essay-prompts/cmorxamtt00e98vvh8fgzy7tf"
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_reassign_candidate","review-official-source-and-reassign-or-reject","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin"
"cmorxbh8t000peiz6g7e8t5x4","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_reassign_candidate","review-official-source-and-reassign-or-reject","/admin/essay-prompts/cmorxbh8t000peiz6g7e8t5x4"
"cmor7vnzd000f1jbwr05a38yt","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_reassign_candidate","review-official-source-and-reassign-or-reject","/admin/essay-prompts/cmor7vnzd000f1jbwr05a38yt"
"cmorwzr2100138vvhfyzhl3ew","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_reassign_candidate","review-official-source-and-reassign-or-reject","/admin/essay-prompts/cmorwzr2100138vvhfyzhl3ew"
